name,description,unit,type
HSC_G_m_base_PsfFlux_flag_BC,General Failure Flag,None,int64
HSC_G_m_base_SdssShape_flag_BC,General Failure Flag,None,int64
HSC_G_m_base_Variance_flag_BC,General Failure Flag,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_0_flag_BC,General Failure Flag,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_1_flag_BC,General Failure Flag,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_2_flag_BC,General Failure Flag,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_flag_BC,General Failure Flag,None,int64
HSC_G_m_ext_photometryKron_KronFlux_flag_BIC,General Failure Flag,None,int64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_flag_BC,General Failure Flag,None,int64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_flag_BC,General Failure Flag,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMomentsRound_flag_BC,General Failure Flag,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMoments_flag_BC,General Failure Flag,None,int64
HSC_G_m_modelfit_DSPsfApprox_flag_BC,General Failure Flag,None,int64
HSC_G_m_slot_Centroid_flag,General Failure Flag,None,int64
HSC_G_m_base_SdssCentroid_flag_edge,Object too close to edge,None,int64
HSC_G_m_base_CircularApertureFlux_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_base_GaussianFlux_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_base_InputCount_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_base_LocalBackground_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_base_NaiveCentroid_flag_BIC_edge,Object too close to edge,None,int64
HSC_G_m_base_PsfFlux_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_base_SdssShape_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_base_Variance_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_0_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_1_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_2_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_ext_photometryKron_KronFlux_flag_BIC_edge,Object too close to edge,None,int64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMomentsRound_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMoments_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_modelfit_DSPsfApprox_flag_BC_edge,Object too close to edge,None,int64
HSC_G_m_slot_Centroid_flag_edge,Object too close to edge,None,int64
HSC_G_m_base_SdssCentroid_flag_noSD,Vanishing second derivative,None,int64
HSC_G_m_base_CircularApertureFlux_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_base_GaussianFlux_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_base_InputCount_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_base_LocalBackground_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_base_NaiveCentroid_flag_BIC_noSD,Vanishing second derivative,None,int64
HSC_G_m_base_PsfFlux_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_base_SdssShape_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_base_Variance_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_0_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_1_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_2_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_ext_photometryKron_KronFlux_flag_BIC_noSD,Vanishing second derivative,None,int64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMomentsRound_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMoments_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_modelfit_DSPsfApprox_flag_BC_noSD,Vanishing second derivative,None,int64
HSC_G_m_slot_Centroid_flag_noSD,Vanishing second derivative,None,int64
HSC_G_m_base_SdssCentroid_flag_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_base_CircularApertureFlux_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_base_GaussianFlux_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_base_InputCount_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_base_LocalBackground_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_base_NaiveCentroid_flag_BIC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_base_PsfFlux_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_base_SdssShape_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_base_Variance_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_0_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_1_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_2_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_ext_photometryKron_KronFlux_flag_BIC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMomentsRound_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMoments_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_modelfit_DSPsfApprox_flag_BC_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_slot_Centroid_flag_almostNoSD,Almost vanishing second derivative,None,int64
HSC_G_m_base_SdssCentroid_flag_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_base_CircularApertureFlux_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_base_GaussianFlux_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_base_InputCount_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_base_LocalBackground_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_base_NaiveCentroid_flag_BIC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_base_PsfFlux_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_base_SdssShape_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_base_Variance_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_0_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_1_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_2_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_ext_photometryKron_KronFlux_flag_BIC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMomentsRound_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMoments_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_modelfit_DSPsfApprox_flag_BC_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_slot_Centroid_flag_notAtMaximum,Object is not at a maximum,None,int64
HSC_G_m_base_SdssCentroid_flag_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_base_CircularApertureFlux_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_base_GaussianFlux_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_base_InputCount_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_base_LocalBackground_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_base_NaiveCentroid_flag_BIC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_base_PsfFlux_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_base_SdssShape_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_base_Variance_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_0_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_1_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_2_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_ext_photometryKron_KronFlux_flag_BIC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMomentsRound_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMoments_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_modelfit_DSPsfApprox_flag_BC_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_slot_Centroid_flag_resetToPeak,set if CentroidChecker reset the centroid,None,int64
HSC_G_m_base_SdssCentroid_flag_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_base_CircularApertureFlux_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_base_GaussianFlux_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_base_InputCount_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_base_LocalBackground_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_base_NaiveCentroid_flag_BIC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_base_PsfFlux_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_base_SdssShape_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_base_Variance_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_0_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_1_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_2_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_ext_convolved_ConvolvedFlux_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_ext_photometryKron_KronFlux_flag_BIC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMomentsRound_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMoments_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_modelfit_DSPsfApprox_flag_BC_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_slot_Centroid_flag_badError,Error on x and/or y position is NaN,None,int64
HSC_G_m_base_Blendedness_old,Blendedness from dot products: (child.dot(parent)/child.dot(child) - 1),None,float64
HSC_G_m_base_Blendedness_raw,"Measure of how much the flux is affected by neighbors: (1 - child_instFlux/parent_instFlux).  Operates on the ""raw"" pixel values.",None,float64
HSC_G_m_base_Blendedness_raw_child_instFlux,"Instrumental flux of the child, measured with a Gaussian weight matched to the child.  Operates on the ""raw"" pixel values.",ct,float64
HSC_G_m_base_Blendedness_raw_parent_instFlux,"Instrumental flux of the parent, measured with a Gaussian weight matched to the child.  Operates on the ""raw"" pixel values.",ct,float64
HSC_G_m_base_Blendedness_abs,"Measure of how much the flux is affected by neighbors: (1 - child_instFlux/parent_instFlux).  Operates on the absolute value of the pixels to try to obtain a ""de-noised"" value.  See section 4.9.11 of Bosch et al. 2018, PASJ, 70, S5 for details.",None,float64
HSC_G_m_base_Blendedness_abs_child_instFlux,"Instrumental flux of the child, measured with a Gaussian weight matched to the child.  Operates on the absolute value of the pixels to try to obtain a ""de-noised"" value.  See section 4.9.11 of Bosch et al. 2018, PASJ, 70, S5 for details.",ct,float64
HSC_G_m_base_Blendedness_abs_parent_instFlux,"Instrumental flux of the parent, measured with a Gaussian weight matched to the child.  Operates on the absolute value of the pixels to try to obtain a ""de-noised"" value.  See section 4.9.11 of Bosch et al. 2018, PASJ, 70, S5 for details.",ct,float64
HSC_G_m_base_Blendedness_raw_child_xx,"Shape of the child, measured with a Gaussian weight matched to the child.  Operates on the ""raw"" pixel values.",pix2,float64
HSC_G_m_base_Blendedness_raw_child_yy,"Shape of the child, measured with a Gaussian weight matched to the child.  Operates on the ""raw"" pixel values.",pix2,float64
HSC_G_m_base_Blendedness_raw_child_xy,"Shape of the child, measured with a Gaussian weight matched to the child.  Operates on the ""raw"" pixel values.",pix2,float64
HSC_G_m_base_Blendedness_raw_parent_xx,"Shape of the parent, measured with a Gaussian weight matched to the child.  Operates on the ""raw"" pixel values.",pix2,float64
HSC_G_m_base_Blendedness_raw_parent_yy,"Shape of the parent, measured with a Gaussian weight matched to the child.  Operates on the ""raw"" pixel values.",pix2,float64
HSC_G_m_base_Blendedness_raw_parent_xy,"Shape of the parent, measured with a Gaussian weight matched to the child.  Operates on the ""raw"" pixel values.",pix2,float64
HSC_G_m_base_Blendedness_abs_child_xx,"Shape of the child, measured with a Gaussian weight matched to the child.  Operates on the absolute value of the pixels to try to obtain a ""de-noised"" value.  See section 4.9.11 of Bosch et al. 2018, PASJ, 70, S5 for details.",pix2,float64
HSC_G_m_base_Blendedness_abs_child_yy,"Shape of the child, measured with a Gaussian weight matched to the child.  Operates on the absolute value of the pixels to try to obtain a ""de-noised"" value.  See section 4.9.11 of Bosch et al. 2018, PASJ, 70, S5 for details.",pix2,float64
HSC_G_m_base_Blendedness_abs_child_xy,"Shape of the child, measured with a Gaussian weight matched to the child.  Operates on the absolute value of the pixels to try to obtain a ""de-noised"" value.  See section 4.9.11 of Bosch et al. 2018, PASJ, 70, S5 for details.",pix2,float64
HSC_G_m_base_Blendedness_abs_parent_xx,"Shape of the parent, measured with a Gaussian weight matched to the child.  Operates on the absolute value of the pixels to try to obtain a ""de-noised"" value.  See section 4.9.11 of Bosch et al. 2018, PASJ, 70, S5 for details.",pix2,float64
HSC_G_m_base_Blendedness_abs_parent_yy,"Shape of the parent, measured with a Gaussian weight matched to the child.  Operates on the absolute value of the pixels to try to obtain a ""de-noised"" value.  See section 4.9.11 of Bosch et al. 2018, PASJ, 70, S5 for details.",pix2,float64
HSC_G_m_base_Blendedness_abs_parent_xy,"Shape of the parent, measured with a Gaussian weight matched to the child.  Operates on the absolute value of the pixels to try to obtain a ""de-noised"" value.  See section 4.9.11 of Bosch et al. 2018, PASJ, 70, S5 for details.",pix2,float64
HSC_G_m_base_Blendedness_flag,General Failure Flag,None,int64
HSC_G_m_base_Blendedness_flag_noCentroid,Object has no centroid,None,int64
HSC_G_m_base_Blendedness_flag_noShape,Object has no shape,None,int64
HSC_G_m_base_InputCount_flag,Set for any fatal failure,None,int64
HSC_G_m_base_InputCount_value,"Number of images contributing at center, not including anyclipping",None,int32
HSC_G_m_base_InputCount_flag_noInputs,No coadd inputs available,None,int64
HSC_G_m_base_SdssShape_xx,elliptical Gaussian adaptive moments,pix2,float64
HSC_G_m_base_SdssShape_yy,elliptical Gaussian adaptive moments,pix2,float64
HSC_G_m_base_SdssShape_xy,elliptical Gaussian adaptive moments,pix2,float64
HSC_G_m_base_SdssShape_xxErr,Standard deviation of xx moment,pix2,float32
HSC_G_m_base_SdssShape_yyErr,Standard deviation of yy moment,pix2,float32
HSC_G_m_base_SdssShape_xyErr,Standard deviation of xy moment,pix2,float32
HSC_G_m_base_SdssShape_x,elliptical Gaussian adaptive moments,pix,float64
HSC_G_m_base_SdssShape_y,elliptical Gaussian adaptive moments,pix,float64
HSC_G_m_base_SdssShape_instFlux,elliptical Gaussian adaptive moments,ct,float64
HSC_G_m_base_SdssShape_instFluxErr,1-sigma instFlux uncertainty,ct,float64
HSC_G_m_base_SdssShape_psf_xx,adaptive moments of the PSF model at the object position,pix2,float64
HSC_G_m_base_SdssShape_psf_yy,adaptive moments of the PSF model at the object position,pix2,float64
HSC_G_m_base_SdssShape_psf_xy,adaptive moments of the PSF model at the object position,pix2,float64
HSC_G_m_base_SdssShape_instFlux_xx_Cov,uncertainty covariance between base_SdssShape_instFlux and base_SdssShape_xx,ct pix2,float32
HSC_G_m_base_SdssShape_instFlux_yy_Cov,uncertainty covariance between base_SdssShape_instFlux and base_SdssShape_yy,ct pix2,float32
HSC_G_m_base_SdssShape_instFlux_xy_Cov,uncertainty covariance between base_SdssShape_instFlux and base_SdssShape_xy,ct pix2,float32
HSC_G_m_base_SdssShape_flag,General Failure Flag,None,int64
HSC_G_m_base_SdssShape_flag_unweightedBad,Both weighted and unweighted moments were invalid,None,int64
HSC_G_m_base_SdssShape_flag_unweighted,Weighted moments converged to an invalid value; using unweighted moments,None,int64
HSC_G_m_base_SdssShape_flag_shift,centroid shifted by more than the maximum allowed amount,None,int64
HSC_G_m_base_SdssShape_flag_maxIter,Too many iterations in adaptive moments,None,int64
HSC_G_m_base_SdssShape_flag_psf,Failure in measuring PSF model shape,None,int64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_x,HSM Centroid,pix,float64
HSC_G_m_slot_PsfShape_x,HSM Centroid,pix,float64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_y,HSM Centroid,pix,float64
HSC_G_m_slot_PsfShape_y,HSM Centroid,pix,float64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_xx,HSM moments,pix2,float64
HSC_G_m_slot_PsfShape_xx,HSM moments,pix2,float64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_yy,HSM moments,pix2,float64
HSC_G_m_slot_PsfShape_yy,HSM moments,pix2,float64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_xy,HSM moments,pix2,float64
HSC_G_m_slot_PsfShape_xy,HSM moments,pix2,float64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_flag,"general failure flag, set if anything went wrong",None,int64
HSC_G_m_slot_PsfShape_flag,"general failure flag, set if anything went wrong",None,int64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_flag_no_pixels,no pixels to measure,None,int64
HSC_G_m_slot_PsfShape_flag_no_pixels,no pixels to measure,None,int64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_flag_not_contained,center not contained in footprint bounding box,None,int64
HSC_G_m_slot_PsfShape_flag_not_contained,center not contained in footprint bounding box,None,int64
HSC_G_m_ext_shapeHSM_HsmPsfMoments_flag_parent_source,"parent source, ignored",None,int64
HSC_G_m_slot_PsfShape_flag_parent_source,"parent source, ignored",None,int64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_e1,PSF-corrected shear using Hirata & Seljak (2003) ''regaussianization,None,float64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_e2,PSF-corrected shear using Hirata & Seljak (2003) ''regaussianization,None,float64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_sigma,PSF-corrected shear using Hirata & Seljak (2003) ''regaussianization,None,float64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_resolution,"resolution factor (0=unresolved, 1=resolved)",None,float64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_flag,"general failure flag, set if anything went wrong",None,int64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_flag_no_pixels,no pixels to measure,None,int64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_flag_not_contained,center not contained in footprint bounding box,None,int64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_flag_parent_source,"parent source, ignored",None,int64
HSC_G_m_ext_shapeHSM_HsmShapeRegauss_flag_galsim,GalSim failure,None,int64
HSC_G_m_ext_shapeHSM_HsmSourceMoments_x,HSM Centroid,pix,float64
HSC_G_m_slot_Shape_x,HSM Centroid,pix,float64
HSC_G_m_ext_shapeHSM_HsmSourceMoments_y,HSM Centroid,pix,float64
HSC_G_m_slot_Shape_y,HSM Centroid,pix,float64
HSC_G_m_ext_shapeHSM_HsmSourceMoments_xx,HSM moments,pix2,float64
HSC_G_m_slot_Shape_xx,HSM moments,pix2,float64
HSC_G_m_ext_shapeHSM_HsmSourceMoments_yy,HSM moments,pix2,float64
HSC_G_m_slot_Shape_yy,HSM moments,pix2,float64
HSC_G_m_ext_shapeHSM_HsmSourceMoments_xy,HSM moments,pix2,float64
HSC_G_m_slot_Shape_xy,HSM moments,pix2,float64
